round,train_loss,train_acc
1,0.23453191875680637,0.49416666666666664
2,0.13432928526176308,0.52
3,0.10369118730693769,0.6575
4,0.07267854575948107,0.7666666666666667
5,0.07361372104331924,0.8141666666666667
6,0.07216745404353786,0.8208333333333334
7,0.07510770393955693,0.8341666666666667
8,0.07919306701127463,0.7608333333333334
9,0.07416931205631896,0.7291666666666667
10,0.05813140139892888,0.7333333333333333
11,0.05205180763053894,0.8083333333333333
12,0.049664095502457276,0.8583333333333334
13,0.06069261653893791,0.8508333333333333
14,0.05624679455105911,0.89
15,0.050458495248142596,0.9075
16,0.051857636664591054,0.8966666666666667
17,0.036208041111695344,0.8858333333333333
18,0.04358579094771321,0.8758333333333332
19,0.04644217323009558,0.85
20,0.04529961796052959,0.9233333333333332
21,0.024307127786533014,0.8891666666666665
22,0.033119288416346565,0.9058333333333334
23,0.0344356923449592,0.9066666666666666
24,0.04105502103467865,0.8766666666666666
25,0.02779818415916873,0.9041666666666666
26,0.027866387251042807,0.9208333333333334
27,0.02350317134198815,0.89
28,0.04360827797289719,0.9266666666666665
29,0.030868505050860057,0.9183333333333333
30,0.03720416195364415,0.9349999999999999
