round,train_loss,train_acc
1,0.24612665040155565,0.22916666666666666
2,0.11422669281029811,0.3275
3,0.08984241416745742,0.4341666666666667
4,0.08203941333971064,0.41583333333333333
5,0.0541872964703604,0.3225
6,0.07654964919824124,0.5066666666666666
7,0.06599850810889621,0.5083333333333333
8,0.06015480905566316,0.52
9,0.06921744783475636,0.6308333333333334
10,0.07721956011418418,0.5233333333333333
11,0.06086166825850038,0.45166666666666666
12,0.06370779788690319,0.33666666666666667
13,0.06814479544368321,0.45083333333333336
14,0.07309436171567843,0.43166666666666664
15,0.07340074902077806,0.48666666666666664
16,0.07259660749680431,0.44416666666666665
17,0.08091944537569361,0.6925
18,0.05151856788338288,0.5741666666666666
19,0.051378886021727035,0.5258333333333333
20,0.048850029024312486,0.46749999999999997
21,0.041697971458670505,0.3058333333333333
22,0.06461350314336112,0.3025
23,0.07968474927753658,0.3025
24,0.08306033617391222,0.3375
25,0.09426172210318327,0.79
26,0.042951506624000706,0.4616666666666666
27,0.0521818209565754,0.18083333333333335
28,0.07003623137537943,0.755
29,0.037125015231916525,0.4683333333333334
30,0.05201691823711978,0.10500000000000001
