round,train_loss,train_acc
1,0.21964996217350796,0.5108333333333334
2,0.10617534795420044,0.39583333333333337
3,0.07286949001363627,0.39249999999999996
4,0.10645048737440536,0.4666666666666667
5,0.08734767034199678,0.5625
6,0.09819176521787502,0.495
7,0.08476297135718187,0.5275
8,0.10651510621407057,0.6241666666666666
9,0.11448807518369904,0.4883333333333333
10,0.08662855731095337,0.5825
11,0.10038122617128502,0.5925
12,0.1468498223251266,0.4291666666666667
13,0.11552592346283434,0.6224999999999999
14,0.06933995002341983,0.8025
15,0.081940242284634,0.5841666666666667
16,0.05531729290247336,0.32
17,0.07036244523514612,0.44000000000000006
18,0.05353238740668431,0.36
19,0.06348397739122898,0.18166666666666667
20,0.06616752118505517,0.31166666666666665
21,0.07421539125469453,0.7883333333333333
22,0.05380566136248942,0.5858333333333333
23,0.06089062637352005,0.27
24,0.052570089945080535,0.22083333333333335
25,0.0725261134950785,0.8866666666666667
26,0.05635158700346836,0.7775000000000001
27,0.05657587271801651,0.4758333333333334
28,0.05946217439989353,0.40499999999999997
29,0.06933306918314938,0.8783333333333333
30,0.047896707931646465,0.7275
