round,train_loss,train_acc
1,0.23698037118033105,0.31833333333333336
2,0.13423438304987853,0.5483333333333333
3,0.08987234705489391,0.5591666666666667
4,0.06831047784801922,0.54
5,0.08810009042321681,0.5091666666666667
6,0.07522220808739583,0.6716666666666666
7,0.06775862509386753,0.755
8,0.07210218509189172,0.7683333333333333
9,0.06349325707247912,0.6816666666666666
10,0.07876612764434573,0.7391666666666666
11,0.06338422289255197,0.7441666666666666
12,0.06085940205308978,0.7466666666666667
13,0.06172499792534708,0.7075
14,0.044686711623729045,0.6849999999999999
15,0.0448080788899287,0.6849999999999999
16,0.0661090944708038,0.6558333333333334
17,0.08099912856048767,0.8008333333333333
18,0.04989476564737217,0.7008333333333333
19,0.04952878400552988,0.6174999999999999
20,0.04294389235365221,0.4833333333333333
21,0.04149301905129572,0.795
22,0.04645092032493435,0.37916666666666665
23,0.038906912496513874,0.24666666666666667
24,0.06595507101963495,0.8316666666666667
25,0.045786884258374363,0.43666666666666665
26,0.05299605253922103,0.89
27,0.03882114023175622,0.6900000000000001
28,0.047695672870857034,0.5
29,0.038692228978368944,0.30583333333333335
30,0.06997619765771497,0.9058333333333334
